Predicted values against Expected values.....

Test Day=395, Predicted=16.372396, Expected=15.787583
Test Day=396, Predicted=15.793636, Expected=15.627619
Test Day=397, Predicted=15.626904, Expected=15.999783
Test Day=398, Predicted=16.006638, Expected=16.590673
Test Day=399, Predicted=16.609570, Expected=16.682083
Test Day=400, Predicted=16.704985, Expected=16.587410
Test Day=401, Predicted=16.604927, Expected=16.407856
Test Day=402, Predicted=16.419060, Expected=16.959574
Test Day=403, Predicted=16.974962, Expected=16.783285
Test Day=404, Predicted=16.800276, Expected=17.037924
Test Day=405, Predicted=17.053381, Expected=16.877958
Test Day=406, Predicted=16.892092, Expected=16.855106
Test Day=407, Predicted=16.865656, Expected=17.217476
Test Day=408, Predicted=17.232265, Expected=17.106480
Test Day=409, Predicted=17.121952, Expected=17.204418
Test Day=410, Predicted=17.217873, Expected=17.305620
Test Day=411, Predicted=17.320375, Expected=17.145655
Test Day=412, Predicted=17.157553, Expected=16.740845
Test Day=413, Predicted=16.744299, Expected=16.453562
Test Day=414, Predicted=16.451183, Expected=16.649437
Test Day=415, Predicted=16.651785, Expected=16.296860
Test Day=416, Predicted=16.299122, Expected=16.486208
Test Day=417, Predicted=16.490257, Expected=16.110779
Test Day=418, Predicted=16.113710, Expected=16.287067
Test Day=419, Predicted=16.291100, Expected=16.437239
Test Day=420, Predicted=16.447733, Expected=16.639643
Test Day=421, Predicted=16.654156, Expected=16.747375
Test Day=422, Predicted=16.763792, Expected=16.239382
Test Day=423, Predicted=16.246725, Expected=16.272156
Test Day=424, Predicted=16.275640, Expected=16.609726
Test Day=425, Predicted=16.620712, Expected=16.042740
Test Day=426, Predicted=16.048098, Expected=16.157448
Test Day=427, Predicted=16.160057, Expected=15.623236
Test Day=428, Predicted=15.621823, Expected=15.574076
Test Day=429, Predicted=15.570730, Expected=15.403652
Test Day=430, Predicted=15.402811, Expected=15.469199
Test Day=431, Predicted=15.471745, Expected=15.891980
Test Day=432, Predicted=15.903463, Expected=15.872316
Test Day=433, Predicted=15.887507, Expected=15.891980
Test Day=434, Predicted=15.905154, Expected=15.718280
Test Day=435, Predicted=15.728148, Expected=16.406528
Test Day=436, Predicted=16.422348, Expected=16.354090
Test Day=437, Predicted=16.374510, Expected=16.590061
Test Day=438, Predicted=16.608633, Expected=16.681828
Test Day=439, Predicted=16.701033, Expected=16.429470
Test Day=440, Predicted=16.442572, Expected=17.081667
Test Day=441, Predicted=17.098236, Expected=16.921076
Test Day=442, Predicted=16.940157, Expected=16.865360
Test Day=443, Predicted=16.878275, Expected=16.862083
Test Day=444, Predicted=16.873512, Expected=17.222593
Test Day=445, Predicted=17.238026, Expected=17.199652
Test Day=446, Predicted=17.216721, Expected=15.469199
Test Day=447, Predicted=15.447996, Expected=15.043140
Test Day=448, Predicted=15.008855, Expected=15.203732
Test Day=449, Predicted=15.185529, Expected=15.731389
Test Day=450, Predicted=15.732301, Expected=15.692060
Test Day=451, Predicted=15.701207, Expected=15.711725
Test Day=452, Predicted=15.720810, Expected=15.367600
Test Day=453, Predicted=15.372142, Expected=15.393820
Test Day=454, Predicted=15.397233, Expected=15.052973
Test Day=455, Predicted=15.054286, Expected=15.200455
Test Day=456, Predicted=15.203567, Expected=15.354491
Test Day=457, Predicted=15.364129, Expected=15.233229
Test Day=458, Predicted=15.242955, Expected=15.347937
Test Day=459, Predicted=15.358062, Expected=14.977593
Test Day=460, Predicted=14.983530, Expected=15.193900
Test Day=461, Predicted=15.200357, Expected=14.879272
Test Day=462, Predicted=14.885027, Expected=14.689184
Test Day=463, Predicted=14.690462, Expected=14.590863
Test Day=464, Predicted=14.592400, Expected=14.603972
Test Day=465, Predicted=14.608131, Expected=14.522038
Test Day=466, Predicted=14.527604, Expected=14.823557
Test Day=467, Predicted=14.833909, Expected=14.794061
Test Day=468, Predicted=14.807255, Expected=15.066082
Test Day=469, Predicted=15.081131, Expected=15.049696
Test Day=470, Predicted=15.065674, Expected=15.203732
Test Day=471, Predicted=15.219241, Expected=15.102134
Test Day=472, Predicted=15.115971, Expected=14.997257
Test Day=473, Predicted=15.007170, Expected=14.882549
Test Day=474, Predicted=14.890007, Expected=14.784228
Test Day=475, Predicted=14.790294, Expected=14.748178
Test Day=476, Predicted=14.754450, Expected=15.218934
Test Day=477, Predicted=15.232106, Expected=15.024706
Test Day=478, Predicted=15.039088, Expected=14.879857
Test Day=479, Predicted=14.888349, Expected=14.781097
Test Day=480, Predicted=14.787519, Expected=15.024706
Test Day=481, Predicted=15.034808, Expected=14.823894
Test Day=482, Predicted=14.833871, Expected=14.945698
Test Day=483, Predicted=14.955187, Expected=14.846937
Test Day=484, Predicted=14.856816, Expected=15.307818
Test Day=485, Predicted=15.322268, Expected=15.390118
Test Day=486, Predicted=15.409050, Expected=15.100422
Test Day=487, Predicted=15.112551, Expected=15.093838
Test Day=488, Predicted=15.102090, Expected=15.054334
Test Day=489, Predicted=15.062971, Expected=14.787682
Test Day=490, Predicted=14.792664, Expected=14.662585
Test Day=491, Predicted=14.665066, Expected=14.524321
Test Day=492, Predicted=14.526684, Expected=14.511153
Test Day=493, Predicted=14.515023, Expected=14.613205
Test Day=494, Predicted=14.620888, Expected=14.560534
Test Day=495, Predicted=14.569612, Expected=14.534197
Test Day=496, Predicted=14.542813, Expected=14.310341
Test Day=497, Predicted=14.316146, Expected=14.323509
Test Day=498, Predicted=14.328904, Expected=14.432145
Test Day=499, Predicted=14.441175, Expected=14.764637
Test Day=500, Predicted=14.779443, Expected=14.728425
Test Day=501, Predicted=14.744545, Expected=14.787682
Test Day=502, Predicted=14.801848, Expected=14.603329
Test Day=503, Predicted=14.614120, Expected=14.507861
Test Day=504, Predicted=14.515183, Expected=14.659293
Test Day=505, Predicted=14.668899, Expected=14.879857
Test Day=506, Predicted=14.894250, Expected=15.064210
Test Day=507, Predicted=15.081710, Expected=15.054334
Test Day=508, Predicted=15.070876, Expected=14.781097
Test Day=509, Predicted=14.791166, Expected=15.034581
Test Day=510, Predicted=15.045115, Expected=14.846937
Test Day=511, Predicted=14.857613, Expected=14.721841
Test Day=512, Predicted=14.728517, Expected=14.665877
Test Day=513, Predicted=14.672009, Expected=14.451897
Test Day=514, Predicted=14.456031, Expected=14.099652
Test Day=515, Predicted=14.098599, Expected=13.757284
Test Day=516, Predicted=13.751766, Expected=13.530136
Test Day=517, Predicted=13.523894, Expected=13.530136
Test Day=518, Predicted=13.528060, Expected=12.904655
Test Day=519, Predicted=12.897106, Expected=13.319448
Test Day=520, Predicted=13.317500, Expected=13.217396
Test Day=521, Predicted=13.223278, Expected=13.276651
Test Day=522, Predicted=13.283681, Expected=13.184476
Test Day=523, Predicted=13.192140, Expected=13.138388
Test Day=524, Predicted=13.145405, Expected=13.013291
Test Day=525, Predicted=13.019362, Expected=13.187767
Test Day=526, Predicted=13.196469, Expected=12.838815
Test Day=527, Predicted=12.844835, Expected=13.082423
Test Day=528, Predicted=13.089459, Expected=13.161431
Test Day=529, Predicted=13.173565, Expected=13.431376
Test Day=530, Predicted=13.446915, Expected=13.530136
Test Day=531, Predicted=13.547839, Expected=13.388579
Test Day=532, Predicted=13.402448, Expected=13.184476
Test Day=533, Predicted=13.192547, Expected=13.378704
Test Day=534, Predicted=13.388115, Expected=13.108759
Test Day=535, Predicted=13.116786, Expected=13.293112
Test Day=536, Predicted=13.301489, Expected=13.075839
