Predicted values against Expected values.....

Test Day=249, Predicted=15.182693, Expected=15.039347
Test Day=250, Predicted=15.043974, Expected=14.647410
Test Day=251, Predicted=14.647120, Expected=14.462779
Test Day=252, Predicted=14.460413, Expected=14.433626
Test Day=253, Predicted=14.434289, Expected=14.504888
Test Day=254, Predicted=14.510028, Expected=14.673324
Test Day=255, Predicted=14.683276, Expected=14.414192
Test Day=256, Predicted=14.421975, Expected=14.365604
Test Day=257, Predicted=14.371174, Expected=14.300821
Test Day=258, Predicted=14.307019, Expected=14.592344
Test Day=259, Predicted=14.603223, Expected=14.718671
Test Day=260, Predicted=14.733729, Expected=14.867672
Test Day=261, Predicted=14.883816, Expected=14.504888
Test Day=262, Predicted=14.514747, Expected=14.323496
Test Day=263, Predicted=14.327522, Expected=14.624736
Test Day=264, Predicted=14.633612, Expected=14.644171
Test Day=265, Predicted=14.656788, Expected=14.252234
Test Day=266, Predicted=14.258042, Expected=14.203648
Test Day=267, Predicted=14.206947, Expected=14.171256
Test Day=268, Predicted=14.176619, Expected=14.472496
Test Day=269, Predicted=14.483276, Expected=14.472496
Test Day=270, Predicted=14.485920, Expected=14.819085
Test Day=271, Predicted=14.835340, Expected=15.062020
Test Day=272, Predicted=15.082294, Expected=14.861194
Test Day=273, Predicted=14.876921, Expected=14.851477
Test Day=274, Predicted=14.863008, Expected=14.945412
Test Day=275, Predicted=14.957821, Expected=14.935694
Test Day=276, Predicted=14.948106, Expected=15.023150
Test Day=277, Predicted=15.035818, Expected=15.220738
Test Day=278, Predicted=15.235899, Expected=15.207782
Test Day=279, Predicted=15.222760, Expected=14.993999
Test Day=280, Predicted=15.003933, Expected=15.185108
Test Day=281, Predicted=15.195762, Expected=14.900064
Test Day=282, Predicted=14.908387, Expected=15.321152
Test Day=283, Predicted=15.332641, Expected=15.343826
Test Day=284, Predicted=15.359332, Expected=15.220738
Test Day=285, Predicted=15.232482, Expected=15.379457
Test Day=286, Predicted=15.391593, Expected=15.350305
Test Day=287, Predicted=15.362944, Expected=15.680697
Test Day=288, Predicted=15.696162, Expected=15.473392
Test Day=289, Predicted=15.487119, Expected=15.418326
Test Day=290, Predicted=15.427882, Expected=15.398891
Test Day=291, Predicted=15.408155, Expected=15.207782
Test Day=292, Predicted=15.214602, Expected=15.499305
Test Day=293, Predicted=15.509447, Expected=15.411848
Test Day=294, Predicted=15.423713, Expected=15.577044
Test Day=295, Predicted=15.589467, Expected=15.596479
Test Day=296, Predicted=15.609982, Expected=15.576963
Test Day=297, Predicted=15.589078, Expected=15.820912
Test Day=298, Predicted=15.835261, Expected=15.830670
Test Day=299, Predicted=15.845947, Expected=16.003061
Test Day=300, Predicted=16.018616, Expected=16.071367
Test Day=301, Predicted=16.087477, Expected=16.393379
Test Day=302, Predicted=16.411772, Expected=16.669855
Test Day=303, Predicted=16.691595, Expected=16.832489
Test Day=304, Predicted=16.854376, Expected=17.108963
Test Day=305, Predicted=17.131210, Expected=17.008131
Test Day=306, Predicted=17.027052, Expected=16.998373
Test Day=307, Predicted=17.012827, Expected=17.011385
Test Day=308, Predicted=17.024511, Expected=17.004879
Test Day=309, Predicted=17.017069, Expected=16.829235
Test Day=310, Predicted=16.838232, Expected=16.920309
Test Day=311, Predicted=16.929493, Expected=16.972353
Test Day=312, Predicted=16.983692, Expected=17.239071
Test Day=313, Predicted=17.253830, Expected=17.352913
Test Day=314, Predicted=17.369961, Expected=17.635895
Test Day=315, Predicted=17.654778, Expected=17.284607
Test Day=316, Predicted=17.297716, Expected=17.356165
Test Day=317, Predicted=17.365784, Expected=17.040659
Test Day=318, Predicted=17.046829, Expected=17.525303
Test Day=319, Predicted=17.535967, Expected=17.538315
Test Day=320, Predicted=17.553795, Expected=17.470009
Test Day=321, Predicted=17.482372, Expected=17.860327
Test Day=322, Predicted=17.875999, Expected=17.987181
Test Day=323, Predicted=18.006184, Expected=17.733473
Test Day=324, Predicted=17.746479, Expected=17.883095
Test Day=325, Predicted=17.894636, Expected=17.883095
Test Day=326, Predicted=17.895784, Expected=17.710705
Test Day=327, Predicted=17.719984, Expected=17.772505
Test Day=328, Predicted=17.781481, Expected=18.055487
Test Day=329, Predicted=18.069250, Expected=18.741796
Test Day=330, Predicted=18.764307, Expected=18.748302
Test Day=331, Predicted=18.772669, Expected=18.494595
Test Day=332, Predicted=18.509584, Expected=18.406773
Test Day=333, Predicted=18.416447, Expected=18.426289
Test Day=334, Predicted=18.435904, Expected=18.377499
Test Day=335, Predicted=18.387011, Expected=18.377499
Test Day=336, Predicted=18.386909, Expected=18.331963
Test Day=337, Predicted=18.341171, Expected=18.504353
Test Day=338, Predicted=18.515841, Expected=18.426289
Test Day=339, Predicted=18.437920, Expected=18.439301
Test Day=340, Predicted=18.449799, Expected=18.556395
Test Day=341, Predicted=18.568573, Expected=18.540133
Test Day=342, Predicted=18.552494, Expected=18.279919
Test Day=343, Predicted=18.287518, Expected=18.039223
Test Day=344, Predicted=18.042006, Expected=18.279919
Test Day=345, Predicted=18.286728, Expected=18.439301
Test Day=346, Predicted=18.451921, Expected=18.279919
Test Day=347, Predicted=18.290731, Expected=17.772505
Test Day=348, Predicted=17.773626, Expected=17.613125
Test Day=349, Predicted=17.611019, Expected=17.691189
Test Day=350, Predicted=17.693806, Expected=18.071749
Test Day=351, Predicted=18.082790, Expected=17.574093
Test Day=352, Predicted=17.580624, Expected=17.564335
Test Day=353, Predicted=17.567375, Expected=18.019707
Test Day=354, Predicted=18.031240, Expected=17.613125
Test Day=355, Predicted=17.622284, Expected=17.580599
Test Day=356, Predicted=17.585693, Expected=17.476513
Test Day=357, Predicted=17.482084, Expected=17.564335
Test Day=358, Predicted=17.571943, Expected=17.785517
Test Day=359, Predicted=17.797859, Expected=17.792046
Test Day=360, Predicted=17.805691, Expected=17.906305
Test Day=361, Predicted=17.920084, Expected=18.036890
